Temperature (C),Humidity,Pressure (millibars),Visibility (km),Precip Type,Wind Speed (km/h),Visibility (km).1,Visibility,Wind Speed,Apparent Temperature (C)
17.56111111,0.85,1006.66,9.7083,0.0,8.855,9.7083,10,9,17.56111111
13.88888889,0.9,0.0,8.05,0.0,15.8746,8.05,8,16,13.88888889
22.05,0.25,1021.63,10.3684,0.0,16.7118,10.3684,10,17,22.05
19.88888889,0.69,1019.8,16.1,0.0,6.2951,16.1,16,6,19.88888889
2.75,0.7,1004.95,11.27,0.0,21.6706,11.27,11,22,-1.972222222
17.03888889,0.93,1017.93,11.0768,0.0,6.2629,11.0768,11,6,17.03888889
7.227777778,0.86,1037.45,3.6708,0.0,2.093,3.6708,4,2,7.227777778
1.066666667,0.85,1017.35,7.084,0.0,7.9695,7.084,7,8,-1.461111111
1.033333333,0.83,1030.37,9.9015,0.0,11.5115,9.9015,10,12,-2.422222222
20.3,0.91,1016.12,14.8764,0.0,6.0697,14.8764,15,6,20.3
4.838888889,0.93,1018.92,7.9695,0.0,3.0268,7.9695,8,3,4.838888889
11.18888889,0.96,1018.47,3.864,0.0,16.5347,3.864,4,17,11.18888889
17.38333333,0.74,1017.15,11.27,0.0,9.7083,11.27,11,10,17.38333333
10.38888889,0.89,1002.47,14.9569,0.0,19.7225,14.9569,15,20,10.38888889
9.422222222,0.84,1005.26,15.8263,0.0,27.6115,15.8263,16,28,6.005555556
9.161111111,0.61,1025.12,9.982,0.0,4.4436,9.982,10,4,9.161111111
14.86111111,0.67,1021.05,9.982,0.0,21.9282,9.982,10,22,14.86111111
12.56666667,0.79,1021.56,10.5455,0.0,9.2897,10.5455,11,9,12.56666667
32.70555556,0.29,1013.29,9.982,0.0,7.4704,9.982,10,7,31.52777778
6.666666667,0.55,998.2,15.134,0.0,14.49,15.134,15,14,3.894444444
20.09444444,0.39,1016.17,9.982,0.0,8.8872,9.982,10,9,20.09444444
24.98333333,0.51,1014.09,11.27,0.0,11.1895,11.27,11,11,24.98333333
3.772222222,0.88,1002.74,11.27,0.0,28.2233,11.27,11,28,-1.366666667
17.2,0.87,1008.32,11.0446,0.0,1.61,11.0446,11,2,17.2
10.36666667,0.53,1020.98,6.2951,0.0,12.4775,6.2951,6,12,10.36666667
18.81666667,0.55,1017.89,11.3988,0.0,21.0588,11.3988,11,21,18.81666667
1.194444444,0.76,1016.7,11.5276,0.0,11.0768,11.5276,12,11,-2.127777778
9.905555556,0.87,1001.03,6.9874,0.0,13.6689,6.9874,7,14,7.983333333
7.688888889,0.89,1021.55,11.27,0.0,23.2001,11.27,11,23,4.155555556
1.088888889,0.79,1024.38,9.982,0.0,20.0606,9.982,10,20,-3.855555556
13.26111111,0.65,1013.29,15.8263,0.0,10.9158,15.8263,16,11,13.26111111
20.0,0.63,1014.9,11.27,0.0,11.27,11.27,11,11,20.0
9.511111111,0.74,1018.6,11.2539,0.0,11.1251,11.2539,11,11,7.877777778
32.61111111,0.36,1016.82,10.3523,0.0,3.3166,10.3523,10,3,32.42222222
9.994444444,0.62,1013.74,10.3523,0.0,13.2503,10.3523,10,13,8.144444444
-1.055555556,0.93,1031.93,1.9803,1.0,2.7531,1.9803,2,3,-1.055555556
-3.838888889,0.92,1038.67,1.8837,1.0,3.1556,1.8837,2,3,-3.838888889
28.05555556,0.62,1017.25,9.982,0.0,4.3792,9.982,10,4,29.71666667
28.75,0.27,1014.05,10.3523,0.0,8.8067,10.3523,10,9,27.53333333
28.24444444,0.38,1001.96,11.27,0.0,15.2467,11.27,11,15,27.74444444
32.89444444,0.47,1012.85,10.0464,0.0,11.0446,10.0464,10,11,35.15555556
23.82222222,0.49,1014.73,11.4471,0.0,4.8783,11.4471,11,5,23.82222222
15.03888889,0.47,1026.57,10.4006,0.0,12.0911,10.4006,10,12,15.03888889
1.55,0.7,1009.93,9.4507,0.0,17.1304,9.4507,9,17,-2.838888889
17.5,0.84,1010.91,9.4507,0.0,9.0643,9.4507,9,9,17.5
22.77777778,0.62,1017.17,15.8263,0.0,14.2163,15.8263,16,14,22.77777778
10.77777778,0.99,1017.48,14.2163,0.0,2.3184,14.2163,14,2,10.77777778
7.216666667,0.86,1015.46,4.83,0.0,9.4346,4.83,5,9,5.438888889
16.66666667,0.87,1016.8,16.1,0.0,3.22,16.1,16,3,16.66666667
17.85555556,0.99,1016.23,9.4507,0.0,3.6225,9.4507,9,4,17.85555556
14.09444444,0.63,1018.91,11.27,0.0,22.5561,11.27,11,23,14.09444444
